patch_size,epoch,train_mse,test_mse,test_mae,test_rmse,best_test_mse,best_epoch,seconds_epoch,seconds_total_for_patch,lookback,pred_len,batch_size,embed_dim,num_layers,num_heads,ff_dim,dropout,train_ratio,num_channels,device,max_rows,max_channels,max_train_batches,max_eval_batches
16,1,0.5993606230190822,43.64433818273695,0.8987667351907603,6.6063861666373205,43.64433818273695,1,295.277,295.277,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,2,0.5035086621556963,36.38183398618819,0.8157691301160709,6.031735569982175,36.38183398618819,2,289.993,585.291,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,3,0.4131915739434106,31.07016995072627,0.7414297899051873,5.574062248551434,31.07016995072627,3,282.026,867.337,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,4,0.3568753544432776,27.742423688494135,0.6890180383591031,5.267107715672249,27.742423688494135,4,283.234,1150.585,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,5,0.30638058906793597,23.965794052303085,0.6191348529771022,4.895487110830043,23.965794052303085,5,286.079,1436.686,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,6,0.27472377829892297,23.172510780674074,0.6023913080860754,4.81378341646922,23.172510780674074,6,281.535,1718.245,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,7,0.26435660524879184,22.66002992408056,0.5908335860559062,4.760255237283035,22.66002992408056,7,277.45,1995.712,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,8,0.25303259508098874,21.908275342294083,0.5740563984828481,4.680627665419894,21.908275342294083,8,276.933,2272.662,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,9,0.2398384302173342,21.64413865619415,0.5640720749241691,4.652326155397335,21.64413865619415,9,282.903,2555.583,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,10,0.23266188512529645,21.75605803441942,0.5611772044805116,4.664338970788832,21.64413865619415,9,287.638,2843.24,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,11,0.2254435074840273,21.857306161079244,0.5622296740645768,4.675179799866444,21.64413865619415,9,288.657,3131.9,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
16,12,0.21782997205427715,21.990024080085792,0.5637064100675659,4.689352202606005,21.64413865619415,9,290.965,3422.867,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
