patch_size,epoch,train_mse,test_mse,test_mae,test_rmse,best_test_mse,best_epoch,seconds_epoch,seconds_total_for_patch,lookback,pred_len,batch_size,embed_dim,num_layers,num_heads,ff_dim,dropout,train_ratio,num_channels,device,max_rows,max_channels,max_train_batches,max_eval_batches
4,1,0.1798340441286564,10.424786118149399,0.3800694974148954,3.2287437368347147,10.424786118149399,1,150.157,150.157,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
4,2,0.14575967583805322,10.198026597764757,0.3657630886501736,3.193434921485759,10.198026597764757,2,154.153,304.312,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
4,3,0.14340067360550166,10.27584470420127,0.36300911586635465,3.205595842304714,10.198026597764757,2,158.016,462.332,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
8,1,0.17918984349817038,10.173447867911857,0.3635006607559708,3.189584278226844,10.173447867911857,1,74.279,74.28,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
8,2,0.13867391083389521,10.073489694406321,0.35500332907370263,3.173876130917261,10.073489694406321,2,77.275,151.559,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
8,3,0.13345173336565494,10.041806046036271,0.35441121107679946,3.168880882273152,10.041806046036271,3,71.477,223.039,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
16,1,0.18716207206249236,10.41790023886191,0.37827773855398367,3.2276772203648103,10.41790023886191,1,38.467,38.467,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
16,2,0.14762927561998368,10.251536953212979,0.3667350817614489,3.2018021414842264,10.251536953212979,2,37.957,76.425,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
16,3,0.13841764245182275,10.304558646537162,0.3617266878695101,3.210071439475633,10.251536953212979,2,38.335,114.762,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
24,1,0.21746237739920615,10.786140770897852,0.402401476794177,3.284226053562369,10.786140770897852,1,25.965,25.965,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
24,2,0.15780383430421352,10.479736849398225,0.3863519219292535,3.237242167246409,10.479736849398225,2,23.981,49.948,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
24,3,0.150758484788239,10.434069238427881,0.3766154702676309,3.230180991589772,10.434069238427881,3,23.972,73.921,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
32,1,0.2144875344634056,10.879718140748171,0.402928087389147,3.2984417746487766,10.879718140748171,1,21.389,21.389,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
32,2,0.16146933160722254,10.782228556681682,0.3909964357668215,3.2836303928246373,10.782228556681682,2,19.289,40.68,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
32,3,0.15373026452958582,10.57099083776159,0.3784181921789954,3.251306020318849,10.57099083776159,3,19.201,59.882,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,200,150
